image_id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,cluster,mood_text
gacs_animations_00_hXzcyx9V_scene_12,21.503603,-8.314658,15.41077,-8.464746,2.988197,3.0401082,-8.16264,-4.641607,-6.3948627,0.07228238,-0.60832727,1.9811659,-5.063603,3.7404435,2,"intense, mysterious, magical, otherworldly"
gacs_animations_00_ysqiEC6b_scene_06,-3.718146,-5.493764,3.827153,-2.1409647,0.16230321,-7.0245156,-4.133401,-6.887215,-1.3654852,0.78499,5.394117,1.9546311,-2.2291412,0.11845008,3,"intense, ethereal, powerful, radiant"
gacs_animations_01_CWnqX41J_scene_08,24.166002,-2.0048687,13.659543,-1.3306141,12.349085,3.9012353,-8.834563,-1.3603086,1.3129658,0.05044435,4.9706473,-0.7822183,-2.5471432,0.10272561,2,"eerie, mysterious, unsettling, intense"
gacs_animations_01_O515YeHQ_scene_05,19.382774,18.213484,11.567458,3.6594226,-0.29390675,1.4323965,0.25207606,2.8507261,1.63154,0.515631,1.2045592,-1.1679503,-3.440891,-5.52175,1,"creepy, unsettling, eerie, mysterious, somber"
gacs_animations_01_hJnAHzo4_scene_02,5.722519,-8.371415,6.2696724,-21.231647,8.523579,6.498634,2.8948035,3.4946501,9.077354,-1.8904982,-0.91847163,2.5713909,-1.4996144,2.4406743,0,"uncertain, curious, intrigued, observant"
gacs_animations_01_hJnAHzo4_scene_11,-4.151241,5.892928,-8.082716,5.2774777,10.899265,4.2062554,10.018266,-0.02214279,-2.894005,-0.8283846,-6.3991036,-3.1887984,0.5817009,0.761334,0,"serious, watchful, peaceful, calm, natural"
gacs_animations_01_taE3Pwur_scene_06,-1.2917416,-4.541466,16.49751,-0.96464324,3.5634587,-1.010933,1.1161126,-0.4054133,5.1885347,-7.9396486,-0.1252795,4.8858256,0.81496257,-4.8237696,3,"whimsical, adventurous, peculiar, imaginative"
gacs_animations_01_xo4rkcC7.temp_scene_06,25.0877,-4.5155635,8.292313,10.808693,12.672249,5.098006,3.9851885,-0.3043748,-0.85001343,2.253818,3.466531,2.0564828,3.5048141,0.6793326,2,"tense, anxious, suspenseful, mysterious"
gacs_animations_01_xo4rkcC7_scene_06,25.23141,-2.6264985,6.4730563,12.03517,12.451361,6.0956626,3.7907376,0.48349395,-1.1731607,3.66314,3.027352,1.1853276,3.5542858,0.5200821,2,"tense, anxious, ominous, suspenseful"
gacs_animations_02_1o8GWhoD_scene_06,8.406253,-17.775204,14.371455,-24.415905,-12.183994,11.691118,0.07311794,-4.3024545,-9.088274,1.7422924,-2.1489863,-2.7443593,3.3375707,-2.4612262,2,"worried, surprised, intense, mystical"
gacs_animations_02_1o8GWhoD_scene_15,19.661268,-12.434803,-16.560175,6.2504463,-2.1327136,1.8897759,-3.5644865,-3.0609975,3.7912624,2.4919882,1.7016073,1.5436738,-1.1381646,-2.0387506,2,"intense, menacing, aggressive, chaotic"
gacs_animations_02_lTxn2Buq_scene_08,-3.2365255,6.248591,-12.224894,-7.3428693,8.456116,-1.4229226,-2.122634,3.2080374,-7.9413424,-2.778234,2.406918,-1.726786,-1.2645133,-3.8677757,0,"serious, formal, authoritative, thoughtful"
gacs_animations_02_qLGNj-xr_scene_01,18.708607,-5.31996,-10.146706,0.6372612,-15.954886,5.213358,6.389726,1.1369088,0.8988492,0.5273124,-1.5944102,2.0032792,0.5899799,3.2303116,2,"struggling, frustrated, effortful, exasperated"
gacs_animations_02_qLGNj-xr_scene_10,6.8755546,-16.430521,12.7357235,-27.596096,-11.38174,12.787453,-0.5201596,-3.6049929,-6.73426,2.2026703,-2.823401,-4.9264455,3.7119858,-2.5944924,2,"curious, surprised, observant"
gacs_animations_02_qLGNj-xr_scene_19,-18.609446,5.0394983,4.083695,10.402337,-2.0480957,2.3227942,2.907352,-8.513941,0.81828344,0.43210107,-3.7140238,1.9141071,-0.68283075,1.0133541,3,"calm, peaceful, dreamy, serene, light"
gacs_animations_02_shW9i6k8_scene_08,-11.150614,-7.4969573,6.0008173,-0.6993769,-4.224663,-8.752254,0.35471803,1.1785041,-0.9073483,-0.9585739,-0.1504882,-1.2906214,-0.92281574,2.1935718,3,"energetic, vibrant, futuristic, intense"
gacs_animations_02_wuGj4Xgb_scene_07,-4.552232,6.1495004,-11.142007,-2.3273256,9.82746,1.6899328,5.173093,1.0573767,-5.440343,-0.5409901,-0.53090066,-1.3608412,-4.2418127,0.10316969,0,"thoughtful, calm, reflective, professional"
gacs_animations_03_NWQH8cMp_scene_03,20.74626,7.558137,8.349136,6.67306,8.479188,-0.14085174,-4.9557514,1.5349888,0.16241822,3.182936,-5.1806507,-3.8070493,0.08419678,-0.6136369,2,"dark, ominous, mysterious, tense"
gacs_animations_03_VWavstJy_scene_01,9.928967,7.130307,-1.2029638,10.345288,8.824256,5.1986885,8.656134,0.5107218,-3.9748683,-3.6886683,0.91875976,-1.6892532,7.1319385,0.23991108,2,"concerned, pensive, thoughtful, anticipatory, uncertain"
gacs_animations_03_f_fuHRyQ_scene_00,19.435465,-12.125975,-13.222087,10.221387,-5.3938594,-1.754972,3.879162,-0.87704825,2.4020934,-1.2345877,2.781112,-2.0532434,-1.0348243,2.3409128,2,"tense, energetic, perilous, chaotic, vibrant"
gacs_animations_03_f_fuHRyQ_scene_09,-12.071498,-7.29348,8.892038,-0.8619279,1.1298863,-0.34695697,-1.7653393,4.2114873,5.862765,-0.50839716,-1.1330138,-0.4466441,-0.81688553,-3.6726172,3,"mysterious, quirky, cool, tense, vibrant"
gacs_emotional_shorts_00_44buVmzh_scene_00,-16.413824,-2.2818599,0.15346296,1.1171719,2.0439606,-1.6909639,-3.4483716,3.6659074,-0.9780995,2.0150068,4.5103087,1.1532247,-1.8819284,-0.059407163,3,"lively, engaging, professional"
gacs_emotional_shorts_00_78hzXX60_scene_07,-7.1593137,8.305361,-14.063492,-0.094730176,9.154526,2.3638422,-1.7544197,0.9309826,-6.6353273,-5.9393535,1.7038393,-2.5921743,0.23676236,-1.5144843,0,"neutral, calm, informative, formal, serious"
gacs_emotional_shorts_00_WAmw-erI_scene_105,-9.718545,19.233402,-4.379036,0.93824136,-3.350124,2.6064956,-3.0708249,-6.743993,-1.3568223,-2.9366088,3.2423596,2.3742893,3.5515277,1.6221147,0,"calm, pensive, intimate, gentle, serene"
gacs_emotional_shorts_00_WAmw-erI_scene_125,-19.53254,1.2052474,-3.563895,6.104026,-1.3956593,4.784697,-6.1945376,2.4013937,1.4345411,2.3155982,0.3332177,1.1345735,-1.6432402,2.0046458,3,"loving, romantic, affectionate, peaceful, warm"
gacs_emotional_shorts_00_WAmw-erI_scene_15,11.870991,-6.739866,-24.7716,0.51789427,-12.068516,5.02557,-6.523642,-1.0672402,5.732506,-1.78246,-0.78849936,4.304613,0.332029,-7.714795,2,"tense, serious, concerned, displeased"
gacs_emotional_shorts_00_WAmw-erI_scene_37,-17.835808,-2.8342083,0.633243,1.379047,-1.2412509,0.5314329,-0.35857776,1.8664417,1.9122405,5.768455,-3.3696318,0.22938432,-1.7420038,0.56963176,3,"spacious, bright, peaceful, affluent"
gacs_emotional_shorts_00_WAmw-erI_scene_59,9.858994,25.918001,5.0596423,-5.8235235,-12.857422,2.461292,3.8295133,3.8473132,0.93769974,2.31206,3.9178772,0.08381762,-3.3414319,-1.3751794,1,"distressed, emotional, somber, concerned"
gacs_emotional_shorts_00_WAmw-erI_scene_81,-8.951243,5.751957,-13.814081,-5.0582566,8.459995,2.0568118,-1.4569285,-0.11950958,-5.4589176,-1.3176016,3.391651,-0.45833898,0.15220465,0.1365078,0,"pensive, thoughtful, intimate, calm"
gacs_emotional_shorts_00_qm5hen3q_scene_06,-5.8894286,4.257455,-14.15731,0.8393311,8.274268,0.02232735,-0.36087972,3.3452096,-8.376872,-4.009475,-0.7485978,-1.1019934,-2.22853,-3.0883894,0,"professional, serious, informative, factual, calm"
gacs_emotional_shorts_01_LIed92r8_scene_15,-11.988553,3.1402383,-10.996872,-1.4608624,9.96573,4.571716,-4.381698,0.7118341,-0.12820359,-0.72236663,2.1814456,-0.11430616,-3.1430788,-1.5407344,0,"warm, candid, observant, subtle"
gacs_emotional_shorts_01_eSNLnjeu_scene_01,-12.90923,4.414746,-2.7929301,-1.5163653,7.353518,2.1072097,5.2425156,-6.855023,2.106991,0.12793463,-2.0355923,-4.262492,-2.2233884,0.5206329,0,"calm, natural, mundane, casual"
gacs_emotional_shorts_01_n5U8Z7VY_scene_03,-20.708248,-4.1514044,7.6929016,8.032555,-8.23655,4.350705,-3.5048718,2.6689591,-0.57795084,2.3090122,-1.160619,1.1708279,0.68879557,1.5236429,3,"sweet, joyful, heartwarming, tender, familial"
gacs_emotional_shorts_02_DZQtVmKM_scene_101,-18.8391,0.4720499,0.75241035,3.1241872,-2.0508623,2.105096,-6.6777782,3.2929733,0.3687702,2.3179762,3.7309408,1.0554105,-0.049561303,0.725802,3,"affectionate, heartwarming, tender, emotional"
gacs_emotional_shorts_02_DZQtVmKM_scene_121,-17.477081,-1.1176063,-1.682292,-0.073998764,5.9711347,0.74473053,-1.9245731,5.131992,-0.94395137,0.8125111,3.1168842,-0.4160335,-3.7535424,1.0871047,3,"engaged, conversational, friendly, bright, casual"
gacs_emotional_shorts_02_DZQtVmKM_scene_141,-8.667742,-5.819711,-1.71071,5.3594894,-8.335526,-3.582346,2.5333772,2.554191,3.4620695,-6.9317865,0.62275565,-12.887663,0.27458784,3.9350767,3,"energetic, chaotic, blurry, lively"
gacs_emotional_shorts_02_DZQtVmKM_scene_161,5.6121225,-5.571683,-19.866415,-1.5314875,-2.7031152,4.1739564,1.3186615,-0.75228286,6.574774,-2.4875438,-8.242047,-1.882707,6.7496166,-4.8851743,0,"curious, cautious, peaceful, urban"
gacs_emotional_shorts_02_DZQtVmKM_scene_181,-19.969614,-2.8661928,3.5449626,5.506914,-1.7466432,0.9129987,-0.782086,-0.31041238,0.8448793,1.3152359,3.828688,-0.103415065,2.6335492,-0.33456483,3,"relaxed, social, celebratory, intimate"
gacs_emotional_shorts_02_DZQtVmKM_scene_201,-19.81661,-8.500504,7.627675,5.9429708,-4.294088,2.7736595,-1.5979286,1.6256601,1.2326744,-0.4014995,1.3361758,-1.0700216,3.1760557,0.36505613,3,"joyful, playful, messy, candid, celebratory"
gacs_emotional_shorts_02_DZQtVmKM_scene_25,-13.87981,-0.102112405,-1.2929263,2.8215501,2.886002,3.289755,-1.2923024,2.0581586,2.2361977,2.826187,-2.8229709,-0.6239254,-4.8865113,2.1213565,3,"peaceful, helpful, ordinary, sunny"
gacs_emotional_shorts_02_DZQtVmKM_scene_47,-18.84297,-5.173931,4.2429304,6.2024,-3.9830859,1.4064435,-2.4630349,3.825861,0.26144618,-1.4125901,-0.18449137,-0.48816422,-0.606392,2.5569088,3,"energetic, joyful, expressive, lively, enthusiastic"
gacs_emotional_shorts_02_DZQtVmKM_scene_69,-1.2459021,-2.2658963,1.2993989,-17.46361,9.412003,2.5114112,2.1436265,4.2402487,8.697194,-1.5726122,0.988135,-1.2575755,-2.3425274,4.253853,0,"clinical, curious, caring, calm"
gacs_emotional_shorts_02_DZQtVmKM_scene_91,-21.146124,-5.19344,6.08135,6.458996,-7.9810433,4.6027036,-3.6590915,1.1617386,-0.31747386,2.223957,1.7654383,-0.24985394,2.6856575,-0.28540322,3,"celebratory, joyful, warm, sentimental"
gacs_emotional_shorts_02_VSj0URO1_scene_03,-5.058196,-3.076038,-15.253089,-5.39644,1.3634412,4.354068,-0.8058159,0.3880084,3.8860223,-0.71778023,-8.727397,-0.737396,4.725682,-6.1001906,0,"curious, innocent, attentive, hopeful"
gacs_emotional_shorts_03_KnEBs_-j_scene_06,-16.730062,-0.7379728,-9.306763,2.1311798,-0.6010839,6.636989,-9.730507,2.7426753,-1.474534,1.3373568,2.3002307,2.194032,-0.6674765,-1.574953,3,"relieved, caring, tender, affectionate"
gacs_emotional_shorts_03_lEDHRh8g_scene_02,18.120937,10.624181,11.207736,8.819148,5.2118125,-1.9310746,-5.219946,1.6155701,4.209501,-5.3868895,1.9246602,-2.9779217,-0.073976,-8.448643,1,"somber, laborious, gritty, unsettling"
gacs_movie_trailers_00_UDfjsSqC_scene_00,14.291739,-7.7267714,-8.191179,0.62133795,-10.015879,-1.9858706,2.3260233,-0.6784437,1.2023398,1.856731,-0.10859541,-3.5361197,-1.3366618,2.277188,2,"destructive, chaotic, intense, overwhelming"
gacs_movie_trailers_00_Way9Dexn_scene_05,16.879545,-11.251361,-12.758079,8.278362,-4.1895294,-6.5635448,-1.0214577,-0.6493644,-0.2602771,-0.24472485,0.12673634,3.512882,-1.9844996,-1.1458915,2,"intense, dangerous, gritty, urgent"
gacs_movie_trailers_00_Way9Dexn_scene_13,8.207894,25.981697,4.042115,-0.4441268,-9.763683,2.7104347,5.0785294,0.6885573,-0.35509223,1.6793962,2.4127429,-0.02909226,-0.8516229,-1.2863611,1,"concerned, intimate, somber, vulnerable, quiet"
gacs_movie_trailers_00_mqqft2x__scene_02,17.379025,-14.755373,-14.683842,1.9591314,-9.466077,-0.5951683,0.45062372,-4.5390944,0.21281774,3.2966087,-3.6565804,2.5393674,-2.764364,1.2906152,2,"intense, dangerous, fiery, mysterious, dramatic"
gacs_movie_trailers_00_vt98AlBD_scene_07,1.4204459,-8.4470215,2.765237,-5.6945744,-6.4539585,-7.9680977,2.5030107,0.64598215,-1.6494844,-3.7119749,2.9545968,-0.21969762,0.6928456,2.5159266,3,"chaotic, intense, energetic, dramatic"
gacs_movie_trailers_01_9ix7TUGV_scene_07,15.822556,-11.094319,12.477824,-9.174509,0.31706294,-2.5647662,-5.88231,-4.868498,-7.6767216,-2.7082458,0.6470681,0.1589354,-3.8734229,1.4001341,2,"intense, dramatic, mysterious, powerful"
gacs_movie_trailers_01_JfVOs4VS_scene_04,11.641857,-3.1884983,3.080111,-0.32751748,7.666599,-4.5294356,-7.668032,2.1789849,4.7240615,-4.1441755,0.7981336,1.5776446,2.1485722,-0.8783677,2,"ominous, enigmatic, scheming, confident"
gacs_movie_trailers_01_OzY2r2JX_scene_01,16.445204,11.44309,10.131371,0.48027235,2.2945256,-5.8862896,-9.506247,0.7250822,-1.1172886,-0.40034667,-9.029164,-2.267245,-1.0636904,1.318843,1,"dark, tense, mysterious, foreboding"
gacs_movie_trailers_01_fsQgc9pC_scene_07,20.403755,-9.761183,5.8799753,5.567674,1.6311748,2.4778934,0.08594823,-0.16881151,-1.4505765,2.5144575,2.5429902,-3.3893268,-1.2544292,1.4821879,2,"overwhelming, destructive, chaotic, terrifying, powerful"
gacs_movie_trailers_01_n9xhJrPX_scene_04,19.186354,4.4805636,1.0598081,10.0372305,-0.23083664,-4.460134,-3.0777278,1.7407291,-0.281903,-0.20657209,-5.197052,-7.322952,1.0068817,1.4267097,2,"dark, tense, chaotic, urgent, ominous"
gacs_movie_trailers_02_32RAq6Jz_scene_03,-1.5601044,-1.763951,-17.787214,-9.602622,5.421207,-1.4653654,0.45720062,1.1449018,-5.607951,1.0679225,-1.4758058,5.4842367,-1.9189183,-1.0546356,0,"intense, determined, focused"
gacs_movie_trailers_02_EOwTdTZA_scene_02,-8.122654,-6.264199,13.086436,-1.5621983,-3.8535037,-2.4460583,3.3849673,-0.3094919,-2.839894,-0.12601425,-1.4865407,-0.060707822,0.953547,-1.7956194,3,"uplifting, grand, hopeful, dramatic, majestic"
gacs_movie_trailers_02_aWzlQ2N6_scene_00,20.709335,5.6954694,9.308776,6.3745427,9.237727,-1.243548,-5.0566216,1.0219493,-0.90745467,1.7244629,-5.855347,-3.1632555,-0.1314085,0.8676878,2,"dark, mysterious, tense, magical, ominous"
gacs_movie_trailers_02_nb_fFj_0_scene_01,-12.678087,15.098801,5.87132,5.0223103,-1.2304273,1.3650016,1.9486402,-13.647884,1.4641993,-0.55840266,-1.651817,1.288957,-2.0721076,1.3205507,3,"deep, serene, mysterious, tranquil"
gacs_movie_trailers_02_uYPbbksJ_scene_00,7.7542,23.227623,7.6293526,-3.3183486,-18.573025,-0.120703176,3.8010864,4.4636846,0.4497124,1.4217709,1.286493,-1.0912029,-2.9479542,-6.9261575,1,"mysterious, tense, somber, dramatic"
gacs_movie_trailers_02_uYPbbksJ_scene_08,9.309653,23.450836,5.8356805,-4.1106915,-15.581516,-1.3138036,2.9916418,4.79607,-0.4282112,1.5632015,2.2224874,0.03928384,-3.2915196,-6.169489,1,"formal, serious, grand, dramatic, somber"
gacs_movie_trailers_02_wxN1T1ux_scene_00,6.3995953,20.909407,-1.7516973,-7.230065,-6.242519,1.1740111,4.5797386,1.758835,2.1659932,-2.5534678,-1.3542416,2.4376202,-1.2950312,5.8501673,1,"contemplative, weary, concerned, mundane"
gacs_movie_trailers_02_wxN1T1ux_scene_08,26.236626,-7.661611,8.045931,15.212618,6.377242,5.928376,4.397591,1.4469556,-1.0505872,3.7208688,3.9076777,3.0171714,2.6423707,1.6389198,2,"terrified, desperate, anxious, violent"
gacs_movie_trailers_03_GY4BgdUS_scene_04,17.248993,-14.127875,-17.711494,6.7503905,-8.510575,0.43624762,-1.532812,-2.0360167,4.9633284,-1.4564016,3.8782766,-4.8324957,-2.6406949,0.44915414,2,"tense, chaotic, crowded, oppressive, confrontational"
gacs_movie_trailers_03_GY4BgdUS_scene_12,19.744865,-15.626636,-8.657909,5.376454,-7.961356,-1.4633827,2.7749312,-3.1133986,1.1417809,-0.44252568,4.348774,-6.8138003,-2.8316658,2.531028,2,"tense, chaotic, dramatic, urgent, historical"
gacs_movie_trailers_03_Go8nTmfr_scene_06,-5.7749867,-6.1626687,3.6363394,-1.2523168,-1.8551435,-11.795472,3.7305515,1.1052139,-2.616808,-2.57639,1.9115273,-3.651886,-0.91660446,-2.6012545,3,"dramatic, tense, action-packed, dynamic"
gacs_movie_trailers_03__Z3QKkl1_scene_03,10.419226,7.1606717,0.202471,1.6938887,-2.8148658,-10.677122,-9.594756,4.6380534,-3.4368198,-1.627766,-10.954078,1.2469229,1.5775261,1.7391851,1,"dark, serious, powerful, determined"
gacs_movie_trailers_03_xg88QIaj_scene_05,2.3608432,19.134087,-9.415937,-6.052668,-8.559353,-0.6640292,-3.5070522,3.2425275,-2.1787312,-3.7575953,3.8625088,2.8361292,9.587544,5.651288,1,"focused, serious, dim, pensive"
gacs_movie_trailers_04_qSqVVswa_scene_00,17.571892,-10.983456,-21.429405,0.87025505,-7.3848543,-0.79303986,-2.0217912,-2.1135485,-0.048689786,0.56029713,2.0669408,6.907388,-3.0575974,-1.4072278,2,"tense, focused, serious, urgent, intense"
gacs_movie_trailers_04_qSqVVswa_scene_08,-11.349235,-13.328485,10.172141,9.509659,-2.992531,-1.7727305,2.3732524,-0.82565373,-3.623992,-5.857189,0.37490523,5.782854,0.93187636,-3.4211304,3,"intense, exhilarating, thrilling, adventurous, dramatic"
